Sitename: Bartlett Experimental Forest New Hampshire USA
Location: Latitude: 44.0646  Longitude: -71.2881  Elevation (masl): 272
Principal investigator: Andrew Richardson
Ecosystem type: DBF Deciduous Broadleaf Forests
File creation date: 15FEB2013
Data Policy -- The AmeriFlux data provided on this site are freely available and were furnished by individual AmeriFlux scientists who encourage their use.
Please kindly inform in writing (or e-mail) the appropriate AmeriFlux scientist(s) of how you intend to use the data and of any publication plans.
It is also important to contact the AmeriFlux investigator to assure you are downloading the latest revision of the data and to prevent potential misuse or misinterpretation of the data.
Please acknowledge the data source as a citation or in the acknowledgments if no citation is available.
If the AmeriFlux Principal Investigators (PIs) feel that they should be acknowledged or offered participation as authors they will let you know.
And we assume that an agreement on such matters will be reached before publishing and/or use of the data for publication.
If your work directly competes with the PIs analysis they may ask that they have the opportunity to submit a manuscript before you submit one that uses unpublished data. 
In addition when publishing please acknowledge the agency that supported the research. --
File Origin - This file was created at Oak Ridge National Laboratory by the AmeriFlux and FLUXNET data management groups.
These groups are supported by the U.S. Department of Energy and National Aeronautics and Space Administration. 
This standardized file is identical in format to other standardized files provided here with a goal of aiding intersite comparisons  multi-site syntheses and modeling activities. 
Questions about these standardized files should be addressed to Tom Boden (bodenta@ornl.gov) .
YEAR, GAP, DTIME, DOY, HRMIN, UST, TA, WD, WS, NEE, FC, SFC, H, SH, LE, SLE, FG, TS1, TSdepth1, TS2, TSdepth2, PREC, RH, PRESS, CO2, VPD, SWC1, SWC2, Rn, PAR, Rg, Rgdif, PARout, RgOut, Rgl, RglOut, H2O, RE, GPP, CO2top, CO2height, APAR, PARdif, APARpct, ZL
2004,-1,2.47917,2,1130,-9999,-3.191,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.33,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,553,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.50000,2,1200,-9999,-3.085,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.33,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,537,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.52083,2,1230,-9999,-3.032,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.33,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,503,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.54167,2,1300,-9999,-2.82,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.33,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,452,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.56250,2,1330,-9999,-2.714,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.33,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,385,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.58333,2,1400,-9999,-2.608,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.33,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,303,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.60417,2,1430,-9999,-2.563,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.36,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,209,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.62500,2,1500,-9999,-2.687,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.33,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,108,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.64583,2,1530,-9999,-2.793,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.33,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,18,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.179,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.66667,2,1600,-9999,-2.899,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.36,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.68750,2,1630,-9999,-3.032,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.36,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.70833,2,1700,-9999,-3.085,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.36,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.72917,2,1730,-9999,-3.112,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.36,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.75000,2,1800,-9999,-3.085,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.36,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.77083,2,1830,-9999,-3.085,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.33,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.79167,2,1900,-9999,-3.138,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.36,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.81250,2,1930,-9999,-3.138,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.36,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.83333,2,2000,-9999,-3.112,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.36,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.85417,2,2030,-9999,-3.138,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.36,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.87500,2,2100,-9999,-3.218,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.36,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.89583,2,2130,-9999,-3.244,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.36,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.91667,2,2200,-9999,-3.244,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.36,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.93750,2,2230,-9999,-3.218,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.36,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.95833,2,2300,-9999,-3.218,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.36,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.97917,2,2330,-9999,-3.244,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.36,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.00000,3,000,-9999,-3.244,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.36,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.02083,3,030,-9999,-3.271,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.36,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.04167,3,100,-9999,-3.244,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.36,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.06250,3,130,-9999,-3.191,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.36,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.08333,3,200,-9999,-3.138,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.36,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.10417,3,230,-9999,-3.085,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.36,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.12500,3,300,-9999,-3.006,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.36,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.14583,3,330,-9999,-3.032,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.36,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.16667,3,400,-9999,-3.006,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.36,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.18750,3,430,-9999,-3.032,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.36,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.20833,3,500,-9999,-3.032,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.36,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.22917,3,530,-9999,-2.979,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.36,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.25000,3,600,-9999,-3.006,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.38,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.27083,3,630,-9999,-2.926,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.36,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.29167,3,700,-9999,-2.899,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.38,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,8,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.172,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.31250,3,730,-9999,-2.873,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.38,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,88,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.184,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.33333,3,800,-9999,-2.74,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.36,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,190,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.35417,3,830,-9999,-2.298,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.36,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,286,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.37500,3,900,-9999,-1.989,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.36,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,371,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.39583,3,930,-9999,-1.343,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.36,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,441,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.41667,3,1000,-9999,-1.007,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.36,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,495,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.43750,3,1030,-9999,-0.627,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.36,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,533,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.45833,3,1100,-9999,-0.282,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.38,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,553,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.47917,3,1130,-9999,-0.008,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.36,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,555,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.50000,3,1200,-9999,0.125,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.36,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,539,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.52083,3,1230,-9999,0.443,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.33,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,506,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.54167,3,1300,-9999,0.593,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,455,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.56250,3,1330,-9999,0.691,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.25,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,388,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.58333,3,1400,-9999,0.735,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.22,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,307,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.60417,3,1430,-9999,0.691,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.22,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,213,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.62500,3,1500,-9999,0.593,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.19,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,111,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.64583,3,1530,-9999,0.47,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.19,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,20,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.18,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.66667,3,1600,-9999,0.346,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.19,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.68750,3,1630,-9999,0.293,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.17,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.70833,3,1700,-9999,0.249,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.17,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.72917,3,1730,-9999,0.293,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.17,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.75000,3,1800,-9999,0.293,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.17,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.77083,3,1830,-9999,0.293,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.17,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.79167,3,1900,-9999,0.266,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.17,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.81250,3,1930,-9999,0.249,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.17,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.83333,3,2000,-9999,0.249,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.19,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.85417,3,2030,-9999,0.195,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.19,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.87500,3,2100,-9999,0.142,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.19,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.89583,3,2130,-9999,0.142,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.19,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.91667,3,2200,-9999,0.125,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.19,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.93750,3,2230,-9999,0.142,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.19,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.95833,3,2300,-9999,0.142,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.19,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,3.97917,3,2330,-9999,0.125,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.22,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,4.00000,4,000,-9999,0.125,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.22,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,4.02083,4,030,-9999,0.125,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.22,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,4.04167,4,100,-9999,0.142,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.22,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,4.06250,4,130,-9999,0.249,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.25,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,4.08333,4,200,-9999,0.293,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.25,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
