StatementID,Committee,Type,CommitteeNumber,Candidate,FilingDate,AmendedDate,OfficialFiling,TransactionDate,LastName,FirstName,Street,City,State,Zip,Expenditure,Purpose,AmendsExpenditureID,ExpenditureID,
1292,Dan for Boulder Council,Official Candidate Committee,2021-OCC-013,Daniel Williams,08/12/2021,Invalid Date,Additional Matching Funds,08/12/2021,Name Badges; Inc.,,12240 SW 53rd St;Suite 511,Cooper City,FL,33330,$18.05,Name tag,,6313
1294,Steve for Boulder,Official Candidate Committee,2021-OCC-009,Steven Rosenblum,08/24/2021,Invalid Date,Additional Matching Funds,08/06/2021,Vista Print,,Hudsonweg 8 Venlo,The Netherlands,CO,5928LW,$85.70,Business Cards,,6320
1294,Steve for Boulder,Official Candidate Committee,2021-OCC-009,Steven Rosenblum,08/24/2021,Invalid Date,Additional Matching Funds,08/06/2021,Standout Stickers,,4930 Chippewa Road,Medina,OH,44256,$108.75,Stickers,,6321
1294,Steve for Boulder,Official Candidate Committee,2021-OCC-009,Steven Rosenblum,08/24/2021,Invalid Date,Additional Matching Funds,08/09/2021,Table Covers Now,,12701 Executive Dr; Ste 604B,Stafford,TX,77477,$170.56,Tablecloth,,6322
1294,Steve for Boulder,Official Candidate Committee,2021-OCC-009,Steven Rosenblum,08/24/2021,Invalid Date,Additional Matching Funds,08/15/2021,Staples,,1601 29th St Suite 1292,Boulder,CO,80301,$70.97,Office Supplies and Prints,,6323
1294,Steve for Boulder,Official Candidate Committee,2021-OCC-009,Steven Rosenblum,08/24/2021,Invalid Date,Additional Matching Funds,08/15/2021,Staples,,1601 29th St Suite 1292,Boulder,CO,80301,$1.84,Prints,,6324
1294,Steve for Boulder,Official Candidate Committee,2021-OCC-009,Steven Rosenblum,08/24/2021,Invalid Date,Additional Matching Funds,08/23/2021,PayPal,,2211 N 1st St,San Jose,CA,95131,$44.84,Transaction Fees  ,,6326
1294,Steve for Boulder,Official Candidate Committee,2021-OCC-009,Steven Rosenblum,08/24/2021,Invalid Date,Additional Matching Funds,08/22/2021,Tundra Restaurant Supply,,3825 Walnut ,Boulder,CO,80301,$78.54,Paper Goods for Party,,6328
1294,Steve for Boulder,Official Candidate Committee,2021-OCC-009,Steven Rosenblum,08/24/2021,Invalid Date,Additional Matching Funds,08/22/2021,Office Depot,,1905 28th Street,Boulder,CO,80301,$33.19,Party Supplies,,6329
1295,Dan for Boulder Council,Official Candidate Committee,2021-OCC-013,Daniel Williams,08/19/2021,Invalid Date,Additional Matching Funds,08/12/2021,StickerGiant.com inc.,,880 Weaver Park Road,Longmont,CO,80501,$394.32,campaign stickers,,6314
1295,Dan for Boulder Council,Official Candidate Committee,2021-OCC-013,Daniel Williams,08/19/2021,Invalid Date,Additional Matching Funds,08/13/2021,Vistaprint,,170 Data Drive,Waltham,MA,02451,$1970.09,Yard signs,,6315
1295,Dan for Boulder Council,Official Candidate Committee,2021-OCC-013,Daniel Williams,08/19/2021,Invalid Date,Additional Matching Funds,08/17/2021,Rebel Idealist LLC,,2615 Columbia Pike #427,Arlington,VA,22204,$146.20,Online fees for Donorbox/Stripe,,6316
1298,Boulder is for People,Unofficial Candidate Committee,2021-UCC-014,,08/22/2021,Invalid Date,3 days after committee certification,08/09/2021,Secretary of State,,,Boulder,CO,,$20.00,SOS filing,,6577
1299,The Coalition,Unofficial Candidate Committee,2021-UCC-015,,08/21/2021,Invalid Date,3 days after committee certification,08/19/2021,Paypal,,2211 North First Street,San Jose,CA,95131,$30.42,Processing fees,,6327
1302,Forward Boulder,Unofficial Candidate Committee,2021-UCC-019,,08/26/2021,Invalid Date,3 days after committee certification,08/23/2021,Stripe.com,,510 Townsend Street ,San Francisco,CA,94103 ,$3.20,Credit Card Fee,,6332
1302,Forward Boulder,Unofficial Candidate Committee,2021-UCC-019,,08/26/2021,Invalid Date,3 days after committee certification,08/24/2021,Stripe.com,,510 Townsend Street,San Francisco,CA,94103,$3.20,Credit Card Fee,,6333
1302,Forward Boulder,Unofficial Candidate Committee,2021-UCC-019,,08/26/2021,Invalid Date,3 days after committee certification,08/24/2021,Stripe.com,,510 Townsend Street,San Francisco,CA,94103,$3.20,Credit Card Fee,,6334
1302,Forward Boulder,Unofficial Candidate Committee,2021-UCC-019,,08/26/2021,Invalid Date,3 days after committee certification,08/24/2021,Stripe.com,,510 Townsend Street,San Francisco,CA,94103,$3.20,Credit Card Fee,,6335
1302,Forward Boulder,Unofficial Candidate Committee,2021-UCC-019,,08/26/2021,Invalid Date,3 days after committee certification,08/25/2021,Stripe.com,,510 Townsend Street,San Francisco,CA,94103,$3.20,Credit Card Fee,,6336
1302,Forward Boulder,Unofficial Candidate Committee,2021-UCC-019,,08/26/2021,Invalid Date,3 days after committee certification,08/25/2021,Stripe.com,,510 Townsend Street,San Francisco,CA,94103,$3.20,Credit Card Fee,,6337
1302,Forward Boulder,Unofficial Candidate Committee,2021-UCC-019,,08/26/2021,Invalid Date,3 days after committee certification,08/25/2021,Stripe.com,,510 Townsend Street,San Francisco,CA,94103,$3.20,Credit Card Fee,,6338
1302,Forward Boulder,Unofficial Candidate Committee,2021-UCC-019,,08/26/2021,Invalid Date,3 days after committee certification,08/25/2021,Stripe.com,,510 Townsend Street,San Francisco,CO,94103,$1.03,Credit Card Fee,,6339
1302,Forward Boulder,Unofficial Candidate Committee,2021-UCC-019,,08/26/2021,Invalid Date,3 days after committee certification,08/25/2021,Stripe.com,,510 Townsend Street,San Francisco,CA,94103,$1.03,Credit Card Fee,,6340
1302,Forward Boulder,Unofficial Candidate Committee,2021-UCC-019,,08/26/2021,Invalid Date,3 days after committee certification,08/25/2021,Stripe.com,,510 Townsend Street,San Francisco,CA,94103,$3.20,Credit Card Fee,,6341
1302,Forward Boulder,Unofficial Candidate Committee,2021-UCC-019,,08/26/2021,Invalid Date,3 days after committee certification,08/25/2021,Stripe.com,,510 Townsend Street,San Francisco,CA,94103,$3.20,Credit Card Fee,,6342
1302,Forward Boulder,Unofficial Candidate Committee,2021-UCC-019,,08/26/2021,Invalid Date,3 days after committee certification,08/25/2021,Stripe.com,,510 Townsend Street,San Francisco,CA,94103,$3.20,Credit Card Fee,,6343
1302,Forward Boulder,Unofficial Candidate Committee,2021-UCC-019,,08/26/2021,Invalid Date,3 days after committee certification,08/25/2021,Stripe.com,,510 Townsend Street,San Francisco,CA,94103,$3.20,Credit Card Fee,,6344
1302,Forward Boulder,Unofficial Candidate Committee,2021-UCC-019,,08/26/2021,Invalid Date,3 days after committee certification,08/25/2021,Stripe.com,,510 Townsend Street,San Francisco,CA,94103,$3.20,Credit Card Fee,,6345
1302,Forward Boulder,Unofficial Candidate Committee,2021-UCC-019,,08/26/2021,Invalid Date,3 days after committee certification,08/26/2021,Stripe.com,,510 Townsend Street,San Francisco,CA,94103,$3.20,Credit Card Fee,,6346
1302,Forward Boulder,Unofficial Candidate Committee,2021-UCC-019,,08/26/2021,Invalid Date,3 days after committee certification,08/26/2021,Stripe.com,,510 Townsend Street,San Francisco,CA,94103,$3.20,Credit Card Fee,,6347
1302,Forward Boulder,Unofficial Candidate Committee,2021-UCC-019,,08/26/2021,Invalid Date,3 days after committee certification,08/26/2021,Stripe.com,,510 Townsend Street,San Francisco,CA,94103,$3.20,Credit Card Fee,,6348
1304,Tara Winer for Council,Official Candidate Committee,2021-OCC-010,Tara Winer,08/30/2021,Invalid Date,Additional Matching Funds,08/10/2021,My Domain ,,1500 N Priest Dr; 200; 2nd Fl,Tempe,AZ,85281,$75.92,Website Domains,,6360
1304,Tara Winer for Council,Official Candidate Committee,2021-OCC-010,Tara Winer,08/30/2021,Invalid Date,Additional Matching Funds,08/23/2021,Fedex Office,,2616 Baseline Rd,Boulder,CO,80305,$70.74,Campaign: Printing,,6361
1304,Tara Winer for Council,Official Candidate Committee,2021-OCC-010,Tara Winer,08/30/2021,Invalid Date,Additional Matching Funds,08/30/2021,EPromos Promotional Products ,,113 5th Ave S,St. Cloud,MN,56301,$62.50,Business Card Magnet,,6362
1305,Dan for Boulder Council,Official Candidate Committee,2021-OCC-013,Daniel Williams,09/20/2021,Invalid Date,42nd day before election,08/17/2021,Rebel Idealist LLC,,2615 Columbia Pike #427,Arlington,VA,22204,$319.87,Online fees for Donorbox/Stripe,,6331
1305,Dan for Boulder Council,Official Candidate Committee,2021-OCC-013,Daniel Williams,09/20/2021,Invalid Date,42nd day before election,09/06/2021,Square Space,,225 Varick St;12th Floor,New York,NY,10014,$26.00,Website,,6367
1305,Dan for Boulder Council,Official Candidate Committee,2021-OCC-013,Daniel Williams,09/20/2021,Invalid Date,42nd day before election,09/08/2021,USPS,,PO 0708830136,Boulder,CO,80301,$80.00,Postage,,6368
1305,Dan for Boulder Council,Official Candidate Committee,2021-OCC-013,Daniel Williams,09/20/2021,Invalid Date,42nd day before election,09/09/2021,D&K Printing,,5637 Arapahoe,Boulder,CO,80303,$359.19,printing campaign materials,,6490
1305,Dan for Boulder Council,Official Candidate Committee,2021-OCC-013,Daniel Williams,09/20/2021,Invalid Date,42nd day before election,09/18/2021,Square Space,,225 Varick St;12th Floor,New York,NY,10014,$26.00,Website - spanish version,,6491
1305,Dan for Boulder Council,Official Candidate Committee,2021-OCC-013,Daniel Williams,09/20/2021,Invalid Date,42nd day before election,09/11/2021,Costco,,600 Marshall Road,Superior,CO,80027,$68.57,Campaign kick off party supplies,,6492
1305,Dan for Boulder Council,Official Candidate Committee,2021-OCC-013,Daniel Williams,09/20/2021,Invalid Date,42nd day before election,09/11/2021,Target,,2800 Pearl St,Boulder,CO,80301,$23.68,Campaign kick off party supplies,,6493
1305,Dan for Boulder Council,Official Candidate Committee,2021-OCC-013,Daniel Williams,09/20/2021,Invalid Date,42nd day before election,09/11/2021,Hazel's Beverage World,,1955 28th Street,Boulder,CO,80301,$91.30,Campaign kick off party supplies,,6494
1305,Dan for Boulder Council,Official Candidate Committee,2021-OCC-013,Daniel Williams,09/20/2021,Invalid Date,42nd day before election,09/12/2021,North Boulder Liquor,,3990 North Broadway,Boulder,CO,80304,$11.73,Campaign kick off party supplies,,6495
1305,Dan for Boulder Council,Official Candidate Committee,2021-OCC-013,Daniel Williams,09/20/2021,Invalid Date,42nd day before election,09/12/2021,Safeway,,3325 28th Street,Boulder,CO,80301,$26.54,Popsicles - Campaign kick off party,,6496
1306,Michael for Boulder,Official Candidate Committee,2021-OCC-012,Michael Christy,08/27/2021,Invalid Date,Additional Matching Funds,08/11/2021,ecocycle,,6400 Arapahoe Ave,Boulder,CO,80301,$15.00,Zero Waste Station,,6349
1306,Michael for Boulder,Official Candidate Committee,2021-OCC-012,Michael Christy,08/27/2021,Invalid Date,Additional Matching Funds,08/07/2021,Amazon.com,,Amazon.com,Seattle,WA,98109,$26.10,Supplies,,6350
1306,Michael for Boulder,Official Candidate Committee,2021-OCC-012,Michael Christy,08/27/2021,Invalid Date,Additional Matching Funds,08/07/2021,Amazon.com,,Amazon.com,Seattle,WA,98109,$7.61,supplies,,6351
1306,Michael for Boulder,Official Candidate Committee,2021-OCC-012,Michael Christy,08/27/2021,Invalid Date,Additional Matching Funds,08/07/2021,Amazon.com,,Amazon.com,Seattle,WA,98109,$11.79,Supplies,,6352
1306,Michael for Boulder,Official Candidate Committee,2021-OCC-012,Michael Christy,08/27/2021,Invalid Date,Additional Matching Funds,08/12/2021,Trader Joes,,1906 28th Street,Boulder,CO,80301,$30.94,Food and supplies,,6353
1306,Michael for Boulder,Official Candidate Committee,2021-OCC-012,Michael Christy,08/27/2021,Invalid Date,Additional Matching Funds,08/06/2021,Sprouts,,2525 Arapahoe Ave,Boulder,CO,80301,$7.98,Food and supplies,,6354
1306,Michael for Boulder,Official Candidate Committee,2021-OCC-012,Michael Christy,08/27/2021,Invalid Date,Additional Matching Funds,08/11/2021,Staples,,1601 29th Street Suite 1292,Boulder,CO,80301,$19.58,Supplies,,6355
1306,Michael for Boulder,Official Candidate Committee,2021-OCC-012,Michael Christy,08/27/2021,Invalid Date,Additional Matching Funds,08/09/2021,Costco,,600 Marshall Rd,Superior,CO,80027,$257.66,Food and supplies,,6356
1306,Michael for Boulder,Official Candidate Committee,2021-OCC-012,Michael Christy,08/27/2021,Invalid Date,Additional Matching Funds,08/09/2021,Target,,400 Marshall Road,Superior,CO,80027,$25.33,Office supplies,,6357
1306,Michael for Boulder,Official Candidate Committee,2021-OCC-012,Michael Christy,08/27/2021,Invalid Date,Additional Matching Funds,08/09/2021,The Boulder Wine Merchant,,2690 Broadway ,Boulder,CO,80304,$390.51,Beverages,,6358
1306,Michael for Boulder,Official Candidate Committee,2021-OCC-012,Michael Christy,08/27/2021,Invalid Date,Additional Matching Funds,08/13/2021,Trader Joes,,1906 28th Street,Boulder,CO,80301,$33.81,Food and supplies,,6359
1307,Michael for Boulder,Official Candidate Committee,2021-OCC-012,Michael Christy,09/13/2021,Invalid Date,Additional Matching Funds,08/29/2021,TableCoversNow.com,,12701 Executive Dr; Ste 604B,Stafford,TX,77477,$107.10,Tablecloths,,6364
1307,Michael for Boulder,Official Candidate Committee,2021-OCC-012,Michael Christy,09/13/2021,Invalid Date,Additional Matching Funds,09/04/2021,VistaPrint,,170 Data Drive,Waltham,MA,02451,$41.89,Printed materials,,6365
1308,Wallach for Council,Official Candidate Committee,2021-OCC-006,Mark Wallach,09/20/2021,Invalid Date,42nd day before election,09/08/2021,Paypal,,2211 N 1st St,San Jose,CA,,$78.41,Credit Card Processing,,6366
1308,Wallach for Council,Official Candidate Committee,2021-OCC-006,Mark Wallach,09/20/2021,Invalid Date,42nd day before election,09/13/2021,Center Copy Printing ,,2200 Central Ave. D-1,Boulder,CO,80301,$59.31,Printed Materials,,6370
1308,Wallach for Council,Official Candidate Committee,2021-OCC-006,Mark Wallach,09/20/2021,Invalid Date,42nd day before election,08/13/2021,Center Copy Printing ,,2200 Central Ave. D-1,Boulder,CO,80301,$106.52,Printed Materials,,6371
1308,Wallach for Council,Official Candidate Committee,2021-OCC-006,Mark Wallach,09/20/2021,Invalid Date,42nd day before election,08/12/2021,Trader Joes,,1906 28th St.,Boulder,CO,80301,$15.36,Party Supplies,,6372
1308,Wallach for Council,Official Candidate Committee,2021-OCC-006,Mark Wallach,09/20/2021,Invalid Date,42nd day before election,08/12/2021,Super Cheap Signs,,9200 Waterford Centre Blvd #100,Austin,TX,78758,$1008.67,Signage,,6373
1308,Wallach for Council,Official Candidate Committee,2021-OCC-006,Mark Wallach,09/20/2021,Invalid Date,42nd day before election,08/11/2021,COSTCO,,600 Marshall Rd,Superior,CO,80027,$84.70,Food,,6374
1308,Wallach for Council,Official Candidate Committee,2021-OCC-006,Mark Wallach,09/20/2021,Invalid Date,42nd day before election,08/11/2021,Hazel's Beverage World,,1955 28th St,Boulder,CO,80301,$98.94,Party Supplies,,6375
1308,Wallach for Council,Official Candidate Committee,2021-OCC-006,Mark Wallach,09/20/2021,Invalid Date,42nd day before election,08/10/2021,Paypal,,2211 N 1st St,San Jose,CO,95131,$100.00,Cash for Refund,,6376
1308,Wallach for Council,Official Candidate Committee,2021-OCC-006,Mark Wallach,09/20/2021,Invalid Date,42nd day before election,08/09/2021,Sticker Mule,,336 Forest Ave ,Amsterdam,NY,12010,$111.28,Promotional Materials,,6377
1309,Together with Nicole Speer,Official Candidate Committee,2021-OCC-005,Nicole Speer,09/20/2021,Invalid Date,42nd day before election,08/22/2021,Imprint,,14550 Beechnut St.,Houston,TX,77083,$973.25,Yard Signs,,6387
1309,Together with Nicole Speer,Official Candidate Committee,2021-OCC-005,Nicole Speer,09/20/2021,Invalid Date,42nd day before election,09/03/2021,Photo Craft Group,,2901 55th Street,Boulder,CO,80301,$71.84,Business Cards,,6388
1309,Together with Nicole Speer,Official Candidate Committee,2021-OCC-005,Nicole Speer,09/20/2021,Invalid Date,42nd day before election,08/23/2021,Staples,,1601 29th Street Suite 1292,Boulder,CO,80301,$60.80,Office Supplies,,6389
1309,Together with Nicole Speer,Official Candidate Committee,2021-OCC-005,Nicole Speer,09/20/2021,Invalid Date,42nd day before election,08/25/2021,Ingrid Castro-Campos,,3026 Littleleaf Lane,Boulder,CO,80304,$505.95,Spanish Translation Services,,6390
1309,Together with Nicole Speer,Official Candidate Committee,2021-OCC-005,Nicole Speer,09/20/2021,Invalid Date,42nd day before election,08/24/2021,FedEx,,2795 Pearl St; Ste 104,Boulder,CO,80302,$8.16,Name Tag Printing,,6391
1309,Together with Nicole Speer,Official Candidate Committee,2021-OCC-005,Nicole Speer,09/20/2021,Invalid Date,42nd day before election,08/26/2021,FedEx,,2795 Pearl St; Ste 104,Boulder,CO,80302,$6.10,Sign-up sheets printing,,6392
1309,Together with Nicole Speer,Official Candidate Committee,2021-OCC-005,Nicole Speer,09/20/2021,Invalid Date,42nd day before election,08/26/2021,Sticker Giant,,880 Weaver Park Road,Longmont,CO,80501,$191.26,Stickers,,6393
1309,Together with Nicole Speer,Official Candidate Committee,2021-OCC-005,Nicole Speer,09/20/2021,Invalid Date,42nd day before election,08/24/2021,Photo Craft,,2901 55th Street,Boulder,CO,80301,$98.07,Fliers,,6394
1309,Together with Nicole Speer,Official Candidate Committee,2021-OCC-005,Nicole Speer,09/20/2021,Invalid Date,42nd day before election,09/08/2021,Colorado Democratic Party,,789 Sherman St #110,Denver,CO,80203,$400.00,VAN Data,,6395
1309,Together with Nicole Speer,Official Candidate Committee,2021-OCC-005,Nicole Speer,09/20/2021,Invalid Date,42nd day before election,09/18/2021,Fedex,,2795 Pearl St #104,Boulder,CO,80302,$2.39,Printing Name Tags and Sign Up Sheets,,6498
1309,Together with Nicole Speer,Official Candidate Committee,2021-OCC-005,Nicole Speer,09/20/2021,Invalid Date,42nd day before election,09/19/2021,Will Betke-Brunswick,,2339 13th Street,Boulder,CO,80304,$100.00,Comic Strip Campaign for Social Media,,6499
1309,Together with Nicole Speer,Official Candidate Committee,2021-OCC-005,Nicole Speer,09/20/2021,Invalid Date,42nd day before election,08/12/2021,Donor Box/Stripe,,2615 Columbia Pike; #427,Arlington,VA,22204,$496.09,Transaction Fees from Online Donation Platform,,6500
1310,Takahashi for Boulder,Official Candidate Committee,2021-OCC-016,David Takahashi,09/21/2021,Invalid Date,42nd day before election,09/08/2021,Great Western Bank,,2775 Pearl St,Boulder,CO,80302,$35.00,Bank Charge,,6538
1311,Boulder Progressives,Unofficial Candidate Committee,2021-UCC-018,,09/21/2021,Invalid Date,42nd day before election,09/17/2021,Twilio,,375 beale street ,San Francisco,CA,94105,$20.00,Text Messaging Campaign ,,6501
1311,Boulder Progressives,Unofficial Candidate Committee,2021-UCC-018,,09/21/2021,Invalid Date,42nd day before election,09/17/2021,Google ,,1600 amphitheatre parkway,Mountain View,CA,94043,$42.34,Google AdWords ,,6502
1311,Boulder Progressives,Unofficial Candidate Committee,2021-UCC-018,,09/21/2021,Invalid Date,42nd day before election,09/11/2021,Amazon,,410 Terry Ave N,Seattle,WA,98109,$54.41,stakes for signs,,6503
1311,Boulder Progressives,Unofficial Candidate Committee,2021-UCC-018,,09/21/2021,Invalid Date,42nd day before election,09/10/2021,Vista Print,,Hudsonweg 8 ,Venlo; NL ,CO,5928 LW,$405.43,Yard Signs ,,6512
1312,Jacques Decalo for City Council,Official Candidate Committee,2021-OCC-017,Jacques Decalo,09/21/2021,Invalid Date,42nd day before election,08/30/2021,PayPal,,2211 N 1st St, San Jose,CA,95131,$1.36,paypal fee,,6504
1312,Jacques Decalo for City Council,Official Candidate Committee,2021-OCC-017,Jacques Decalo,09/21/2021,Invalid Date,42nd day before election,08/30/2021,PayPal,,2211 N 1st St,San Jose,CA,95131,$1.36,paypal fee,,6505
1312,Jacques Decalo for City Council,Official Candidate Committee,2021-OCC-017,Jacques Decalo,09/21/2021,Invalid Date,42nd day before election,09/07/2021,PayPal,,2211 N 1st St,San Jose,CA,95131,$3.38,paypal fee,,6506
1312,Jacques Decalo for City Council,Official Candidate Committee,2021-OCC-017,Jacques Decalo,09/21/2021,Invalid Date,42nd day before election,09/09/2021,PayPal,,2211 N 1st St,San Jose,CA,95131,$3.38,paypal fee,,6507
1312,Jacques Decalo for City Council,Official Candidate Committee,2021-OCC-017,Jacques Decalo,09/21/2021,Invalid Date,42nd day before election,09/10/2021,PayPal,,2211 N 1st St,San Jose,CA,95131,$3.38,paypal fee,,6508
1312,Jacques Decalo for City Council,Official Candidate Committee,2021-OCC-017,Jacques Decalo,09/21/2021,Invalid Date,42nd day before election,09/11/2021,PayPal,,2211 N 1st St,San Jose,CA,95131,$3.38,paypal fee,,6509
1312,Jacques Decalo for City Council,Official Candidate Committee,2021-OCC-017,Jacques Decalo,09/21/2021,Invalid Date,42nd day before election,09/13/2021,PayPal,,2211 N 1st St,San Jose,CA,95131,$1.94,paypal fee,,6510
1312,Jacques Decalo for City Council,Official Candidate Committee,2021-OCC-017,Jacques Decalo,09/21/2021,Invalid Date,42nd day before election,09/14/2021,PayPal,,2211 N 1st St,San Jose,CA,95131,$1.21,paypal fee,,6511
1313,Boulder is for People,Unofficial Candidate Committee,2021-UCC-014,,09/21/2021,Invalid Date,42nd day before election,08/23/2021,Mailchimp,,675 Ponce de Leon Ave NE Suite 5000,Atlanta,GA,,$55.04,Email marketing plan,,6539
1313,Boulder is for People,Unofficial Candidate Committee,2021-UCC-014,,09/21/2021,Invalid Date,42nd day before election,08/23/2021,Wix.com,,40 Namal Tel Aviv Street,Tel Aviv,CO,,$25.00,Web hosting,,6540
1313,Boulder is for People,Unofficial Candidate Committee,2021-UCC-014,,09/21/2021,Invalid Date,42nd day before election,09/12/2021,D&K Printing Inc,,5637 Arapahoe Ave,Boulder,CO,,$536.06,Campaign literature,,6541
1313,Boulder is for People,Unofficial Candidate Committee,2021-UCC-014,,09/21/2021,Invalid Date,42nd day before election,09/16/2021,Artist Proof Collective,,760 Umatilla St,Denver,CO,,$953.04,Campaign literature,,6542
1313,Boulder is for People,Unofficial Candidate Committee,2021-UCC-014,,09/21/2021,Invalid Date,42nd day before election,09/21/2021,CO Secretary of State,,1700 Broadway Suite 550,Denver,CO,,$10.00,SOS registration fee,,6543
1313,Boulder is for People,Unofficial Candidate Committee,2021-UCC-014,,09/21/2021,Invalid Date,42nd day before election,09/21/2021,Donorbox,,2615 Columbia Pike #427,Arlington,VA,,$48.62,Processing fees,,6544
1313,Boulder is for People,Unofficial Candidate Committee,2021-UCC-014,,09/21/2021,Invalid Date,42nd day before election,09/21/2021,Stripe,,510 Townsend St,San Francisco,CA,,$107.19,Processing fees,,6545
1314,Better Boulder UCC,Unofficial Candidate Committee,2021-UCC-020,,09/15/2021,Invalid Date,3 days after committee certification,09/13/2021,Paypal,,2211 North First Street,San Jose,CA,95131,$22.44,Donation collection,,6369
1315,Lauren Folkerts for Boulder,Official Candidate Committee,2021-OCC-007,Lauren Folkerts,09/21/2021,Invalid Date,42nd day before election,09/03/2021,Prairie Mountain Media,,3350 Arapahoe Ave,Boulder,CO,,$1720.00,Media Buy,,6378
1315,Lauren Folkerts for Boulder,Official Candidate Committee,2021-OCC-007,Lauren Folkerts,09/21/2021,Invalid Date,42nd day before election,09/03/2021,D&K Printing; Inc.,,5637 Arapahoe Ave,Boulder,CO,,$1607.71,Printing,,6379
1315,Lauren Folkerts for Boulder,Official Candidate Committee,2021-OCC-007,Lauren Folkerts,09/21/2021,Invalid Date,42nd day before election,09/01/2021,Swan Ink,,2510 47th St Unit J,Boulder,CO,,$750.00,Merch,,6380
1315,Lauren Folkerts for Boulder,Official Candidate Committee,2021-OCC-007,Lauren Folkerts,09/21/2021,Invalid Date,42nd day before election,08/30/2021,Rincon Argentino,,2525 Arapahoe Ave,Boulder,CO,,$214.91,Food and Beverage,,6381
1315,Lauren Folkerts for Boulder,Official Candidate Committee,2021-OCC-007,Lauren Folkerts,09/21/2021,Invalid Date,42nd day before election,09/30/2021,StickerGiant,,880 Weaver Park Rd,Longmont,CO,,$255.94,Stickers,,6382
1315,Lauren Folkerts for Boulder,Official Candidate Committee,2021-OCC-007,Lauren Folkerts,09/21/2021,Invalid Date,42nd day before election,08/25/2021,Allegra Boulder,,2985 Sterling Court Suite A,Boulder,CO,,$106.66,Business Cards and Handouts,,6383
1315,Lauren Folkerts for Boulder,Official Candidate Committee,2021-OCC-007,Lauren Folkerts,09/21/2021,Invalid Date,42nd day before election,08/25/2021,OfficeMax,,1905 28th St,Boulder,CO,,$11.42,Name Card Holder,,6384
1315,Lauren Folkerts for Boulder,Official Candidate Committee,2021-OCC-007,Lauren Folkerts,09/21/2021,Invalid Date,42nd day before election,09/15/2021,Stripe,,510 Townsend St,San Francisco,CA,,$417.53,Transaction Fees,,6385
1315,Lauren Folkerts for Boulder,Official Candidate Committee,2021-OCC-007,Lauren Folkerts,09/21/2021,Invalid Date,42nd day before election,09/03/2021,Rooster Magazine,,7101 Lavista Pl Ste 200,Niwot,CO,,$500.00,Advertisement,,6525
1315,Lauren Folkerts for Boulder,Official Candidate Committee,2021-OCC-007,Lauren Folkerts,09/21/2021,Invalid Date,42nd day before election,09/02/2021,Rincon Argentino,,2525 Arapahoe Ave,Boulder,CO,,$20.00,Food Delivery,,6526
1315,Lauren Folkerts for Boulder,Official Candidate Committee,2021-OCC-007,Lauren Folkerts,09/21/2021,Invalid Date,42nd day before election,09/03/2021,Rebel Idealist LC,,5 3rd St Suite 900,San Francisco,CA,,$4.13,Donorbox Integration,,6527
1315,Lauren Folkerts for Boulder,Official Candidate Committee,2021-OCC-007,Lauren Folkerts,09/21/2021,Invalid Date,42nd day before election,09/03/2021,Boulder Weekly,,690 S. Lashley Lane,Boulder,CO,,$2150.00,Advertisement,,6528
1315,Lauren Folkerts for Boulder,Official Candidate Committee,2021-OCC-007,Lauren Folkerts,09/21/2021,Invalid Date,42nd day before election,09/21/2021,Stephanie Bingham,,3235 6th Street,Boulder,CO,,$35.40,Website Hosting,,6529
1315,Lauren Folkerts for Boulder,Official Candidate Committee,2021-OCC-007,Lauren Folkerts,09/21/2021,Invalid Date,42nd day before election,08/20/2021,C&D Printing,,5351 Tennyson Street; Unit 1-C,Denver,CO,,$1570.20,Yard Signs,,6548
1319,Tara Winer for Council,Official Candidate Committee,2021-OCC-010,Tara Winer,09/20/2021,Invalid Date,42nd day before election,09/15/2021,US Bank,,200 S. 6th St,Minneapolis,MN,55401,$2.00,Bank Service Charge,,6396
1319,Tara Winer for Council,Official Candidate Committee,2021-OCC-010,Tara Winer,09/20/2021,Invalid Date,42nd day before election,09/20/2021,EPromos Promotional Products ,,113 5th Ave S,St. Cloud,MN,56301,$61.20,Campaign Materials,,6397
1319,Tara Winer for Council,Official Candidate Committee,2021-OCC-010,Tara Winer,09/20/2021,Invalid Date,42nd day before election,09/20/2021,EPromos Promotional Products ,,113 5th Ave S,St. Cloud,CO,56301,$55.96,Business Card Magnet,,6398
1319,Tara Winer for Council,Official Candidate Committee,2021-OCC-010,Tara Winer,09/20/2021,Invalid Date,42nd day before election,09/20/2021,Hazel's Beverage World,,1955 28th St.,Boulder,CO,80301,$151.08,Campaign Kickoff ,,6399
1319,Tara Winer for Council,Official Candidate Committee,2021-OCC-010,Tara Winer,09/20/2021,Invalid Date,42nd day before election,09/20/2021,Trader Joe's,,1906 28th St.,Boulder,CO,80301,$224.84,Campaign Kickoff ,,6400
1319,Tara Winer for Council,Official Candidate Committee,2021-OCC-010,Tara Winer,09/20/2021,Invalid Date,42nd day before election,09/20/2021,Paperless Post,,115 Broadway,New York,NY,10006,$20.00,Campaign Kickoff ,,6401
1319,Tara Winer for Council,Official Candidate Committee,2021-OCC-010,Tara Winer,09/20/2021,Invalid Date,42nd day before election,09/20/2021,Square,,1455 Market St; 600,San Francisco,CA,94103,$309.17,Merchant Services 8/1 to 9/7/2021,,6402
